season,hr,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt
-1.3776849326620522,-1.6526663267089259,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-1.3453486792470688,0.9252063386958609,-1.6289530226894926,-0.8896740639518845,-1.3186294101575098,16
-1.3776849326620522,-1.5091372352596173,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-1.4498854613078358,0.8727177495962456,-1.6289530226894926,-0.3332938162127918,-0.6665131620244786,40
-1.3776849326620522,-1.3656081438103087,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-1.4498854613078358,0.8727177495962456,-1.6289530226894926,-0.6114839400823382,-0.7914704894410828,32
-1.3776849326620522,-1.2220790523610001,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-1.3453486792470688,0.6102748040981688,-1.6289530226894926,-0.8896740639518845,-1.5020402832806528,13
-1.3776849326620522,-0.6479626865637657,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-1.554422243368603,1.187649284193937,-1.6289530226894926,-1.3652432218493338,-2.490183400397599,3
-1.3776849326620522,-0.5044335951144571,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-1.3453486792470688,0.6102748040981688,-1.6289530226894926,-1.3652432218493338,-1.7442337595044919,8
-1.3776849326620522,-0.3609045036651484,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-0.9272015510040003,0.6627633931977841,-1.6289530226894926,-0.3332938162127918,-1.8457883308739371,14
-1.3776849326620522,-0.2173754122158398,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-0.6135912048216989,0.6627633931977841,0.6382752742778756,-0.08099737914014936,-0.8776603046898296,36
-1.3776849326620522,-0.0738463207665312,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-0.7181279868824662,0.9252063386958609,0.9054811319023313,0.42046546555420367,-0.7140617416529224,56
-1.3776849326620522,0.06968277068277741,1.4694545591356085,-1.52177544431949,-0.6937151081363163,-0.4045176407001648,0.7152519822973995,0.9054811319023313,0.49275344870167337,-0.2643115687246551,84
-1.3776849326620522,0.21321186213208604,1.4694545591356085,-1.52177544431949,1.0217108767007108,-0.19544407657863044,0.4528090367993227,1.038637228176725,0.8152235336100093,-0.38154771753189043,94
-1.3776849326620522,0.3567409535813946,1.4694545591356085,-1.52177544431949,1.0217108767007108,-0.19544407657863044,0.4528090367993227,0.9054811319023313,0.6178444995821065,-0.07317951699214327,106
-1.3776849326620522,0.5002700450307033,1.4694545591356085,-1.52177544431949,1.0217108767007108,-0.29998085863939766,0.7152519822973995,1.038637228176725,0.7070741154812302,-0.08381646745672792,110
-1.3776849326620522,0.6437991364800119,1.4694545591356085,-1.52177544431949,1.0217108767007108,-0.4045176407001648,0.9776949277954757,1.038637228176725,0.7236074761198559,-0.30618615687668993,93
-1.3776849326620522,0.7873282279293204,1.4694545591356085,-1.52177544431949,1.0217108767007108,-0.29998085863939766,0.9776949277954757,0.9054811319023313,0.06146425184301392,-0.30618615687668993,67
-1.3776849326620522,0.9308573193786291,1.4694545591356085,-1.52177544431949,2.238824982420272,-0.4045176407001648,1.2926264623931678,0.6382752742778756,-0.26100583306532205,-0.8191291578852508,35
-1.3776849326620522,1.0743864108279377,1.4694545591356085,-1.52177544431949,2.238824982420272,-0.4045176407001648,1.2926264623931678,0.6382752742778756,-0.505720963544589,-0.6899159180716372,37
