Eccentricity,ConvexArea,Extent,Solidity,roundness,ShapeFactor1,ShapeFactor4,Class
-2.1865758910372888,-0.8906674029572518,0.530524332930966,0.5888718458009509,1.4272809032420373,0.9150212624425826,1.205772167512669,1
-2.662009271714339,-0.8709250523630034,0.4785530949358685,0.5748167560314282,1.3570424172030482,0.7499382101864757,1.2565527670307066,1
-2.7366053253379716,-0.8655664143445646,0.3712425321224333,0.5337940906104199,1.7656706124235009,0.7197656239246356,0.9897780111709625,1
-2.7329963066508047,-0.8612925208642713,0.39009677527362213,0.2665533633298103,1.5395576069589256,0.7048375206050997,1.1719004743253645,1
-2.288624016485089,-0.8596437091662901,0.6498996386187751,0.9479252872183406,1.821348961399724,0.7683818884750971,1.2042769829226108,1
-2.845079564535286,-0.8561725266442245,0.37388886615241473,0.25489254676548984,1.3993222543311798,0.6669449765550524,1.3010365291041102,1
-3.4907275396975512,-0.8523108360884264,0.707652529297744,0.2372440380881924,1.6086599966562163,0.5655242892310475,1.0781274059526864,1
-2.808422249685845,-0.8530701572651282,0.16471595173513742,0.6993430719007092,1.510426035472535,0.6616351087603357,0.7561158317576485,1
-2.559641031783697,-0.8515732098024875,0.9730406498630683,0.5416172391064055,1.4320165003945375,0.6967694714836835,0.8482491361295273,1
-3.228985644690008,-0.8519637178362198,0.5991164613628394,0.7040199697523366,1.511152439962827,0.5922026874913081,1.2904127861040928,1
-3.0893876152710797,-0.850965752861126,0.23039558452312275,0.4714749648892979,1.7444173776403904,0.6104826448562588,1.2128128555491768,1
-2.690421125362965,-0.8498159236506917,0.553664832595891,0.21307829593331193,1.3610388366438817,0.6695917981543911,1.0941544676783788,1
-2.7681992510618567,-0.8501413470121354,0.20625441749884071,0.3569921400615586,1.6047192031010307,0.6558864393909163,1.2464507671218679,1
-3.2294423910746435,-0.8493820258354335,0.36353462638626016,0.6694502466080072,1.7009399324126102,0.582944343005909,1.2950575867614516,1
-2.581292099904282,-0.8492518564908561,0.44830517139781084,1.1877360588266748,1.9308543680321932,0.675010075749917,1.2765202912075255,1
-2.206039500831396,-0.8491433820370415,0.3394138426519458,1.4968891958265242,1.8772494976627168,0.7409556838337468,0.9554698857249574,1
